#,type,conscieniousness,agreeable,extraversion,neuroticism,openness
0,INFJ,50.22031973,57.71273046,20.2788891,85.88187978,75.60278174
1,ENTP,37.61441377,53.04986179,19.2923702,97.24779521,76.6872109
2,INTP,55.88302211,62.36175274,33.68039782,77.35532718,73.16256345
3,INTJ,21.39582754,70.408671,56.05826003,89.56679917,72.92137874
4,ENTJ,15.7368388,47.37946064,55.7772194,96.28591317,69.24075453
5,INTJ,47.18679654,56.50039713,33.82282819,93.93135191,56.0392502
6,INFJ,20.3236886,46.12681379,21.03345697,99,67.59635564
7,INTJ,beautiful,67.65199292,35%.,75.62205716,beautiful
8,INFJ,37.90275518,64.94356419,18.46250074,71.0288076,85.36930826
9,INTP,10.41082642,25.81757222,18.29230854,98.62918961,81.90134723
10,INFJ,43.78800041,27.46552009,17.84550965,97.42424222,57.40395439
11,ENFJ,16.08355992,74.00071804,30.08560046,99,78.55677167
12,INFJ,6.936873964,36.58417762,30.71861521,99,87.01713686
13,INTJ,34.01310336,49.54185604,22.25311672,98.51943906,55.4294334
14,INTP,56.19079233,53.59519385,29.57330603,92.73479276,51.87748528
15,INTP,4.788823449,42.90479911,22.75486979,99,79.23850011
16,INFJ,58.7673872,49.09781985,18.96418941,94.62377005,49.1771422
17,INFP,33.80480042,49.16783476,62.6049354,98.16186357,60.39714588
18,INFJ,33.30476875,65.52922481,56.86750329,89.87232321,71.8333246
19,INFP,48.61133353,45.14060912,61.38445425,79.97703489,58.80798516
20,INTP,33.75973987,67.24500079,39.47982626,90.28185453,71.65869525
21,INFJ,29.51532869,32.53393082,31.22744481,98.95972996,82.46685062
22,ENTJ,25.92133441,65.66248638,25.05927312,97.41156678,80.14780145
23,INFP,21.59167279,80.30210312,60.88052705,83.80895641,83.88151442
24,ENTJ,33.8759196,79.97705595,71.33748733,57.99748759,86.14612595
25,INFP,36.63089851,68.81532618,39.61976191,76.79558555,82.03711952
26,ENFP,55.07018582,50.92764216,29.35298522,85.09035711,62.6167884
27,ISFP,10.86931431,59.67631568,48.89110472,77.71303589,84.7637436
28,INFP,45.38965173,63.20960552,70.77117206,91.35653475,54.51655161
29,INFJ,31.44085533,34.77228772,18.41150993,98.55859198,70.17092192
30,INFP,19.9372453,70.05204399,20.0299722,97.67829229,84.80414633
31,INFJ,1.728166493,30.74932147,31.48284014,99,73.7529806
32,INTP,45.60712909,81.36913844,59.2209643,64.15651445,73.49324323
33,INFJ,39.12281332,46.05852565,44.56985078,97.07415385,67.41289459
34,ENFJ,9.188970521,51.7087858,45.74981838,93.5136329,81.76080173
35,INFJ,10.40383841,66.81198105,3.420031353,97.76325253,84.36653061
36,INTJ,27.54281042,65.49208881,47.6391626,89.40612359,80.83408087
37,INFP,15.369649,73.33582772,50.40989117,94.86309706,78.5129243
38,ENFP,6.072570174,40.53151734,52.97933757,97.84710696,81.62281152
39,ENTJ,46.98961083,23.23897244,20.1016731,98.08836643,29.1340585
40,ISTP,17.29148226,54.00939173,55.70161927,93.46400243,77.89608162
41,INFJ,7.275588884,34.42866892,5.026743498,99,82.75570082
42,INTP,39.39295401,47.99598365,30.81279544,93.34207731,74.59238769
43,INFP,38.30947815,62.27035863,34.17192256,78.56899996,81.25268122
44,INTJ,11.68331215,39.61859208,24.54925593,99,77.75235616
45,INTP,13.77480377,38.2405582,30.9038349,98.22527169,77.64935943
46,ENTJ,34.19500464,44.66512152,39.97687657,93.08738293,75.04698895
47,INFP,37.43021546,30.1466479,44.52078257,97.42439058,58.96849525
48,ISFJ,56.46616813,48.50910289,32.50712906,88.93213048,64.05444548
49,INTJ,12.57911634,51.31512714,34.06115629,94.80376228,88.60374604
50,INTP,47.56628438,65.60356633,40.33145728,67.00477167,78.06706046
51,INFP,22.20351259,43.86658674,26.83022402,98.70933363,76.54433976
52,ISFJ,65.83956678,37.51238801,22.47483394,96.17798837,56.80334652
53,INTP,29.15345057,64.37728964,62.86771416,93.66553457,75.43288394
54,INFP,51.85117621,78.98047845,37.34616963,88.67893651,86.03040852
55,INFP,53.25760665,57.12990116,11.98442333,98.17854774,62.36839814
56,INFP,56.84390656,42.52628833,35.41557808,98.49714326,69.51368908
57,ENFJ,21.48154435,54.93895994,44.65258464,97.20289624,57.04148585
58,INTP,27.35321808,40.11468019,9.264488786,97.87601662,69.34223601
59,INTJ,40.24697836,34.87366872,10.42022979,99,75.8282894
60,INFJ,28.89718013,46.58053669,19.33090844,98.48694798,74.00401987
61,INTP,37.92752162,60.77417883,54.2162801,88.50859103,77.82393129
62,INFP,75.19405178,32.65267998,2.727728923,99,43.88121416
63,INFP,30.03972752,57.5908724,51.22311513,90.45554405,71.03384431
64,ENTP,2.909440966,51.87027519,65.8869965,99,93.30685758
65,INTP,6.354700476,64.82858669,43.23542683,92.82672406,77.38396912
66,ISFP,51.09767247,57.60787385,69.71296693,93.11172668,93.73167296
67,ENFJ,50.85510248,86.13829062,62.32994263,60.10934019,67.14524257
68,INFJ,37.88928614,49.83469849,36.166669,98.44495372,75.85218507
69,ENFJ,34.16909769,72.92194714,33.73374036,70.91880883,73.12616613
70,INFJ,41.14982756,48.04142628,49.86868236,90.03783257,76.08272994
71,INFP,47.03061161,45.26924637,17.18031858,98.60214396,83.68711528
72,ENFP,35.83875938,57.99258266,41.54459526,95.62612133,69.58255571
73,ISTP,37.80004919,33.61251893,43.89315194,94.68449453,41.06312242
74,INFJ,38.33013385,54.35259927,30.29243011,97.76825984,69.21174617
75,INTP,31.54042612,28.49830704,26.95890586,97.1209002,70.3658545
76,INTJ,63.55833096,34.72160181,54.96910207,90.72649764,52.61465748
77,INTJ,49.72018022,39.70306115,19.10563155,95.4772231,53.39620701
78,INTJ,if,if,19.74500519,if,if
79,INFP,44.98527086,69.38290004,44.56684411,71.63325848,80.82263324
80,INFP,51.6357359,33.86974636,16.26022851,99,61.23312127
81,INFJ,68.36292744,34.94098489,4.805313031,98.14311204,48.77522694
82,ENTP,91.52108291,35.83923202,51.75230528,88.59973052,64.45198851
83,ENTJ,23.33464207,51.06206228,17.57550688,94.31779331,74.79177066
84,INFP,12.30663424,25.2823234,3.423302634,99,80.74595841
85,INTP,25.78909125,48.82470659,29.93328853,89.24132006,94.77725863
86,INFP,25.68196765,29.76528759,28.57823277,99,66.16194648
87,ISFJ,27.45883427,67.08727366,33.27447391,90.92050837,67.64738966
88,ISTJ,14.2887125,76.17877751,16.62730591,80.71126234,74.18143745
